team,filename,rocket_name,parse_status,motor_designation,motor_found,or_apogee_ft,diameter_in,length_in,mass_found,mass_source,mass_lb,cg_found,cg_in,cp_found,cp_in,stability_cal,stability_category,tier_run,our_apogee_ft,apogee_diff_pct,hazard_zone_ft,motor_class,total_impulse_ns,is_multistage,stage_count,nosecone_type,barrowman_cd,cd_used,override_applied,missing_fields,warnings
005,005_ORK_PR2.ork,005,ok,L1420R,yes,11199,4.09,91.31,yes,databranch_t0,29.725,yes,57.64,yes,68.32,2.610,stable,tier3,10810,-3.5,11315,L,4590.6,no,1,haack,0.5069,barrowman:0.5069,no,,
043,043_UniversityMassachusettsAmherst_PR2_2026.ork,043,ok,M1845NT,yes,8497,6.11,123.01,yes,databranch_t0,47.307,yes,77.80,yes,93.21,2.522,stable,tier3,9061,6.6,8726,M,8066.3,no,1,haack,0.6700,barrowman:0.6700,yes,,override: cd [cd_override: Barrowman 0.4511 underestimates. 2-iter correction = 0.67.]
100,100_ORK_PR2.ork,3.8,ok,M2500T,yes,10356,6.17,115.27,yes,databranch_t0,58.158,yes,76.77,yes,21.65,-8.933,unstable,tier3,12010,16.0,8431,M,9464.3,no,1,ogive,0.3948,barrowman:0.3948,yes,,"override: motor [motor_designation: OR XML has 'M2500T', we matched '9994M3400-P']"
101,101_ORK_PR2.ork,101_ORK_PR2,ok,M1780NT,yes,8277,5.00,89.50,yes,databranch_t0,38.052,yes,55.04,yes,70.90,3.172,stable,tier3,9290,12.2,9734,M,5592.2,no,1,conical,0.5253,barrowman:0.5253,no,,
104,104_ORK_PR2.ork,Havtek OpenRocket IREC,ok,M1850W,yes,10603,5.08,107.87,yes,databranch_t0,49.249,yes,67.44,yes,10.24,-11.264,unstable,tier3,12148,14.6,8806,M,7791.4,no,1,haack,0.4430,barrowman:0.4430,no,,
13,13_ORK_PR2.ork,13_ORK_PR2,ok,M1850W,yes,10357,5.87,104.37,yes,databranch_t0,49.454,yes,63.98,yes,77.35,2.279,stable,tier3,10809,4.4,11243,M,7791.4,no,1,ogive,0.4347,barrowman:0.4347,no,,
15,15_ORK_PR2.ork,Team 15_Aetherion_Progress Report 2,ok,M2500T,yes,10219,6.17,105.92,yes,databranch_t0,65.669,yes,70.16,yes,85.62,2.505,stable,tier3,10070,-1.5,11007,M,9464.3,no,1,haack,0.4586,barrowman:0.4586,no,,
18,18_ORK_PR2.ork,Rocket,ok,M2500T,yes,9576,6.17,170.50,yes,component_sum+geom,51.189,no,,yes,24.33,,,tier3,9016,-5.9,9903,M,9464.3,no,1,haack,0.5377,barrowman:0.5377,no,,
1,1_ORK_PR2.ork,1_ORK_PR2,ok,HP-L1000W,yes,9978,4.00,71.46,yes,databranch_t0,15.432,yes,59.17,yes,8.53,-12.660,unstable,tier3,10699,7.2,6530,L,2702.1,no,1,ogive,0.3792,barrowman:0.3792,no,,
201,201_ORK_PR2.ork,Rocket,ok,O5500X-PS,yes,27281,6.13,111.25,yes,databranch_t0,83.449,yes,75.08,yes,86.93,1.934,stable,tier3,24076,-11.7,22664,O,21395.4,no,1,ogive,0.4619,barrowman:0.4619,no,,
2025,2025-2026_Comp_Rocket_V8.ork,2025-2026_Comp_Rocket_V8,ok,M6000ST,yes,9937,6.00,116.00,yes,databranch_t0,59.582,yes,78.74,yes,16.67,-10.346,unstable,tier3,11030,11.0,7514,M,9604.6,no,1,haack,0.4800,barrowman:0.4800,yes,,"override: motor, cd [motor_designation: OR XML has 'M6000ST', we matched 'M1800FJ'. cd_override: Mach 1.041 transonic â€” Barrowman CD 0.40 underestimates drag. Correction: 0.3980 Ã— (11983/9937) = 0.48.]"
2026,2026_IREC (recent).ork,66_University of Arizona 2026 IREC Vehicle,ok,M1939W,yes,11440,6.26,115.50,yes,databranch_t0,55.594,yes,79.21,yes,93.08,2.215,stable,tier3,12292,7.4,12153,N,10240.9,no,1,haack,0.4855,barrowman:0.4855,no,,
202,202_ORK_PR2.ork,202_ORK_PR2,ok,O5500X-PS,yes,31266,5.15,117.00,yes,databranch_t0,79.073,yes,72.01,yes,86.87,2.886,stable,tier3,28816,-7.8,27396,O,21395.4,no,1,ogive,0.5241,barrowman:0.5241,yes,,"override: motor [motor_designation: OR XML has 'O5500X-PS', we matched 'M4500ST']"
205,205_ORK_PR2.ork,205,ok,O5500X-PS,yes,32135,5.15,123.50,yes,override,55.306,no,,yes,95.57,,,tier3,31095,-3.2,24483,O,21395.4,no,1,haack,0.5926,barrowman:0.5926,yes,,
206,206_ORK_PR2.ork,206,ok,21062O3400-P,yes,27950,6.01,95.14,yes,component_sum+geom,33.371,no,,yes,20.03,,,tier3,29677,6.2,26568,O,20961.8,no,1,haack,0.4000,barrowman:0.4000,yes,,"override: motor, cd [motor_designation confirmed correct (O3400-P). cd_override: rocket reaches Mach 1.732 â€” Barrowman CD 0.33 (subsonic) underestimates drag at supersonic speeds. Effective CD correction: 0.3293 Ã— (34084/27950) = 0.40. Mass (14.68 kg dry + 16.84 kg O3400 = 31.52 kg) is correct; error is purely CD.]"
207,207_ORK_PR2.ork,207 - Aconcagua,ok,O5500X-PS,yes,30562,5.94,107.48,yes,databranch_t0,72.177,yes,65.00,yes,85.27,3.410,stable,tier3,27875,-8.8,24879,O,21395.4,no,1,haack,0.4475,barrowman:0.4475,no,,
